Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
Papua New Guinea,Oceania,-0.923388123512268,-0.725788354873657,-0.495241820812225,-0.55601042509079,-0.754454612731934,0.190056756138802
Paraguay,South America,-0.748556673526764,-0.770884454250336,0.200180888175964,-0.299924224615097,-0.667941749095917,-0.0386418290436268
Peru,South America,-0.35437273979187,-0.170533314347267,-0.158690348267555,0.508269548416138,-0.493892014026642,0.279037088155746
Philippines,Asia,-0.528784275054932,-0.0125897657126188,-1.30315053462982,-0.0040514562278986,-0.395716160535812,0.143323644995689
Poland,Europe,0.745603263378143,0.691426217556,0.512244462966919,0.95192962884903,0.679982423782349,0.836127877235413
Portugal,Europe,0.960252344608307,1.22030687332153,1.01705229282379,0.844361901283264,1.1300847530365,1.17299699783325
Puerto Rico,North America,0.0354522168636322,0.383037477731705,0.812220275402069,0.949777483940125,0.676600635051727,0.402257025241852
Qatar,Asia,0.918440520763397,0.747537553310394,0.867257058620453,0.696030139923096,0.8649542927742,-1.19534468650818
Reunion,Africa,0.64254766702652,1.06296336650848,0.316860407590866,1.23878955841064,1.09248089790344,
Romania,Europe,-0.000939624267630279,-0.170930698513985,0.26743870973587,0.587380111217499,0.301821559667587,0.514984607696533
Russian Federation,Europe,-0.859784007072449,-0.215767920017242,-0.89372855424881,-0.415649473667145,-0.800349712371826,-1.21164965629578
